#{"t_start": 1747068277.7986002, "env_id": "None"}
r,l,t
-49.5,50,2.365903
-76.465985,78,2.636357
-70.5,71,2.645452
-103.463809,107,3.379789
-305.49789,307,3.640293
-132.5,133,3.658006
-37.49789,39,3.883857
-47.49789,49,4.09604
-17.461174,19,4.278619
-75.465985,77,4.581821
-71.5,72,4.609724
-96.5,97,5.275419
-46.465985,48,5.659829
-61.5,62,5.862793
-46.465985,48,6.451677
-29.499961,31,6.89694
-67.49789,69,7.470463
-54.5,55,7.643584
-62.5,63,7.85503
-41.499526,43,8.282545
-64.424864,66,9.194679
-17.5,18,9.267661
-2.49789,4,9.577005
-4.499961,6,10.402024
-103.424864,105,11.024281
-53.465985,55,11.431671
-16.499076,18,12.191257
-80.424864,82,13.907861
-166.499961,168,14.976043
-73.461174,75,15.599648
-51.5,52,15.77399
-97.461174,99,16.447882
-71.49789,73,16.991726
-8.49789,10,17.246576
-19.49789,21,17.554353
-10.499961,12,17.991011
-6.49789,8,18.327227
-9.49789,11,18.651575
-3.49789,5,18.979435
-24.49789,26,19.354042
-8.49789,10,19.696317
-6.5,7,19.724559
-2.499526,4,19.873104
-9.49789,11,20.216008
-6.497416,9,21.111422
-12.49789,14,21.862445
-6.49789,8,22.243778
-14.49789,16,22.552865
-12.49789,14,22.810516
-19.496951,22,23.475132
-3.49789,5,23.760398
-29.49789,31,24.153652
-5.49789,7,24.514719
-11.49789,13,24.939966
-18.497824,21,25.786252
-23.497824,26,26.684022
-9.421581,12,27.412693
-19.497824,22,28.241643
-20.4971,24,29.292177
-8.497824,11,30.126839
-24.497824,27,30.874304
-14.497824,17,31.56151
-17.49789,19,31.796774
-5.49789,7,32.138802
-3.49789,5,32.440796
-32.497824,35,35.072634
-19.497824,22,35.788818
-20.497824,23,36.393242
-15.49789,17,36.673343
-18.497824,21,37.412558
-28.497824,31,38.167565
-14.407305,17,39.571351
-2.49789,4,39.75641
-24.499961,26,40.371475
-35.497519,38,41.019995
-18.49789,20,41.385427
-7.069785,11,42.665957
-9.497416,12,43.652741
-26.497416,29,44.329479
-23.49789,25,44.853709
-4.49789,6,45.172366
-23.49789,25,45.698845
-28.497416,31,46.244674
-20.133585,26,47.256567
-15.485138,19,48.538162
-20.472523,25,49.995862
-6.497416,9,51.901719
-33.49789,35,52.29523
-29.49789,31,52.773151
-5.497416,8,53.418855
-11.497416,14,54.849
-11.497416,14,55.978683
