Wall time,Step,Value
1747609242.17371,5000,-0.4248639941215515
1747609346.917506,10000,-0.4239400029182434
1747609496.6687207,15000,1.9744620323181152
1747609650.326499,20000,-9.924863815307617
1747609745.3584104,25000,-10.5
1747609825.863829,30000,-6.706110000610352
1747609882.0483797,35000,-10.5
1747609951.7212508,40000,-9.924863815307617
1747610049.5260205,45000,-10.5
1747610121.2304344,50000,-9.349727630615234
1747610214.6786397,55000,-9.924863815307617
1747610331.3392808,60000,-9.924863815307617
1747610476.3182752,65000,-9.924863815307617
1747610552.647316,70000,-9.924863815307617
1747610587.0791645,75000,-10.5
1747610595.7694347,80000,-10.5
1747610602.6389682,85000,-10.5
1747610633.7285988,90000,-9.924863815307617
1747610712.136082,95000,-10.5
1747610746.8344934,100000,-9.924863815307617
